,accelerator,num_processes,iteration,learning_rate,mixed_precision,downcast,train_batch_size,validation_batch_size,epoch_1_accuracy,epoch_1_f1,epoch_1_train_time,epoch_1_validation_time,epoch_2_accuracy,epoch_2_f1,epoch_2_train_time,epoch_2_validation_time,epoch_3_accuracy,epoch_3_f1,epoch_3_train_time,epoch_3_validation_time,total_time
41,tpu,8,2,2e-05,True,True,8,32,0.7156862745098039,0.8204334365325078,0.47865346305163003,0.1175516189996415,0.7720588235294118,0.8535433070866142,0.48112052198274763,0.075620403999892,0.8112745098039216,0.8697123519458544,0.476529578396492,0.034263802499481244,136.17642294399957
42,cuda,2,0,4e-05,False,False,32,64,0.7058823529411765,0.8181818181818181,0.5550095093276155,0.009002255750147015,0.8137254901960784,0.8785942492012779,0.5430619117588039,0.00900748725007361,0.8504901960784313,0.8942807625649914,0.536888146413699,0.008819462250357901,105.06599128499874
43,cuda,2,1,4e-05,False,False,32,64,0.6985294117647058,0.8166915052160953,0.5452418323447373,0.008970246499757195,0.7794117647058824,0.8398576512455516,0.5395908465862734,0.008891705750102119,0.8357843137254902,0.8838821490467937,0.5439642952586492,0.008866467749612639,104.6685918990006
44,cuda,2,2,4e-05,False,False,32,64,0.7058823529411765,0.8219584569732937,0.5385145425344208,0.008909859500363382,0.8382352941176471,0.8892617449664431,0.5457669740517931,0.00906162050068815,0.8529411764705882,0.8969072164948454,0.5450085858621668,0.012044060750213248,104.71927899899856
45,tpu,8,0,2e-05,False,False,16,32,0.6838235294117647,0.8122270742358079,0.5328791555861683,0.08962591099952988,0.7058823529411765,0.8203592814371258,0.5192016772758381,0.05962212750000617,0.7303921568627451,0.8259493670886074,0.5191508251723306,0.05461447500010763,83.09881239399965
46,tpu,8,1,2e-05,False,False,16,32,0.6838235294117647,0.8122270742358079,0.5314019598275802,0.10190512749977643,0.696078431372549,0.8160237388724035,0.5330357257930229,0.06978261150015896,0.7132352941176471,0.821917808219178,0.5279520059654621,0.06659432649939845,98.801126587
47,tpu,8,0,0.00016,False,False,8,32,0.6838235294117647,0.8122270742358079,0.47231375972406286,0.08296726399930776,0.6838235294117647,0.8122270742358079,0.47730821103464377,0.06398067600002832,0.6838235294117647,0.8122270742358079,0.47928546072398603,0.07857376350057166,139.4371406169994
48,tpu,8,1,0.00016,False,False,8,32,0.7205882352941176,0.8256880733944955,0.4632001101553497,0.10367125550055789,0.8235294117647058,0.8831168831168831,0.4832215919481753,0.0726889180004946,0.8357843137254902,0.8850771869639793,0.4773480670001563,0.03711801800000103,131.87881578199995
49,tpu,8,2,0.00016,False,False,8,32,0.75,0.8425925925925926,0.4771172298446643,0.06130724400009058,0.8431372549019608,0.8933333333333334,0.4833676353793698,0.08307550300014555,0.8382352941176471,0.8873720136518771,0.4837523136724611,0.042326565000621486,134.52607358299974
50,tpu,8,0,0.00016,True,False,8,32,0.803921568627451,0.8625429553264605,0.5323664572931412,0.10800787450079952,0.8455882352941176,0.891566265060241,0.4690393539310113,0.07418690449958376,0.8578431372549019,0.9026845637583893,0.48365227931038857,0.07904628300002514,135.25806010500128
51,tpu,8,2,0.00016,True,False,8,32,0.7622549019607843,0.8500772797527049,0.46935062996547866,0.0900642959995821,0.8333333333333334,0.8888888888888888,0.4662665654655813,0.05960644550032157,0.8627450980392157,0.9063545150501673,0.46586099477597853,0.03760230100033368,125.75932022299821
52,tpu,8,3,0.00016,True,False,8,32,0.7916666666666666,0.8608837970540099,0.4490798793103436,0.05905823000011878,0.8333333333333334,0.880701754385965,0.46751870462077055,0.0749909824999122,0.8431372549019608,0.8915254237288135,0.46318763136213387,0.055999480499849597,122.07508898099877
