,accelerator,num_processes,iteration,learning_rate,mixed_precision,downcast,train_batch_size,validation_batch_size,epoch_1_accuracy,epoch_1_f1,epoch_1_train_time,epoch_1_validation_time,epoch_2_accuracy,epoch_2_f1,epoch_2_train_time,epoch_2_validation_time,epoch_3_accuracy,epoch_3_f1,epoch_3_train_time,epoch_3_validation_time,total_time
0,tpu,8,0,0.00016,True,False,4,64,0.6838235294117647,0.8122270742358079,0.0666787774307453,0.01437461828585843,0.6838235294117647,0.8122270742358079,0.06707324760959572,0.013220341428677784,0.6838235294117647,0.8122270742358079,0.06660298422351667,0.01177636499986485,235.02485575300034
1,tpu,8,1,0.00016,True,False,4,64,0.6838235294117647,0.8122270742358079,0.06709757589204644,0.013599792571247755,0.6838235294117647,0.8122270742358079,0.06621311173392853,0.012016053571122549,0.6838235294117647,0.8122270742358079,0.066618465262823,0.013876594571359289,233.86234679299923
2,tpu,8,2,0.00016,True,False,4,64,0.6838235294117647,0.8122270742358079,0.0665517783936633,0.014723654285912094,0.6838235294117647,0.8122270742358079,0.06656706485712913,0.015331426714250742,0.6838235294117647,0.8122270742358079,0.06750627484296615,0.01466332057134423,235.2407784649995
3,tpu,8,0,2e-05,False,False,4,64,0.7941176470588235,0.8595317725752508,0.08295768041439988,0.013166692857079656,0.8431372549019608,0.8957654723127035,0.07811587092475694,0.015877309571416327,0.875,0.9137055837563453,0.07879412564121711,0.01340316042861949,277.0677696559999
4,tpu,8,0,2e-05,True,False,32,64,0.6838235294117647,0.8122270742358079,0.19564545543480957,0.016791163857435874,0.6887254901960784,0.8140556368960467,0.19686803066090405,0.012219525571578873,0.696078431372549,0.8165680473372782,0.19365466565217818,0.014659074428761545,79.07427356400058
5,tpu,8,1,2e-05,True,False,32,64,0.6838235294117647,0.8122270742358079,0.19522686324346622,0.015071518571468394,0.6887254901960784,0.8140556368960467,0.19747022741738993,0.011586118571488311,0.696078431372549,0.8165680473372782,0.19428959460870512,0.015489871142952845,78.88364068200008
6,tpu,8,2,2e-05,True,False,32,64,0.6838235294117647,0.8122270742358079,0.19594959326088587,0.019183410714114352,0.6887254901960784,0.8140556368960467,0.1975723878000439,0.01332728914271034,0.696078431372549,0.8165680473372782,0.1945367759478477,0.014800661714226797,79.14127340800042
7,tpu,8,0,2e-05,True,False,4,64,0.7254901960784313,0.826625386996904,0.07038934280369732,0.01444673085721401,0.7598039215686274,0.8409090909090909,0.0699735801155964,0.011915337714331795,0.7671568627450981,0.8424543946932007,0.07296902958233334,0.013777140571359528,250.0436631829998
8,tpu,8,1,2e-05,True,False,4,64,0.7254901960784313,0.826625386996904,0.07097875378299086,0.0152431358571578,0.7598039215686274,0.8409090909090909,0.07028735436749092,0.015435834714285843,0.7671568627450981,0.8424543946932007,0.07084922683642812,0.016686966142905085,248.09215819099973
9,tpu,8,2,2e-05,True,False,4,64,0.7254901960784313,0.826625386996904,0.07524455380371017,0.015779986571357898,0.7598039215686274,0.8409090909090909,0.06903972289858924,0.011904102857118102,0.7671568627450981,0.8424543946932007,0.06764079039694945,0.012897296428556209,248.03567946199973
10,tpu,8,0,2e-05,False,True,4,64,0.7941176470588235,0.8595317725752508,0.075266335314066,0.014349885428535865,0.8431372549019608,0.8957654723127035,0.07540140532715309,0.014078036285874467,0.875,0.9137055837563453,0.07512731501635622,0.014100550000031424,259.3628738550001
11,tpu,8,1,2e-05,False,True,4,64,0.7941176470588235,0.8595317725752508,0.07630431160851599,0.014693276428520871,0.8431372549019608,0.8957654723127035,0.0755584157557176,0.011497774714501117,0.875,0.9137055837563453,0.07660792970772558,0.015388449285507835,262.7957229799995
12,tpu,8,2,2e-05,False,True,4,64,0.7941176470588235,0.8595317725752508,0.07727349625629368,0.013546042857212472,0.8431372549019608,0.8957654723127035,0.074805260034908,0.014857084571433785,0.875,0.9137055837563453,0.07490199763034112,0.011038857714213788,260.8257929249994
13,tpu,8,0,2e-05,False,False,32,64,0.7058823529411765,0.8214285714285715,0.21117728621738935,0.014209764857176716,0.8357843137254902,0.888888888888889,0.20852222098260031,0.010322265571468441,0.8504901960784313,0.8946459412780656,0.20754781227826796,0.012366198857145199,83.38880449199996
14,tpu,8,1,2e-05,False,False,32,64,0.6911764705882353,0.8157894736842105,0.21885938359131338,0.013493047714291606,0.7965686274509803,0.852575488454707,0.21075383554784427,0.012614511142828633,0.8504901960784313,0.8981636060100167,0.21616773826956137,0.012521530285669411,86.01067740600001
15,tpu,8,2,2e-05,False,False,32,64,0.7034313725490197,0.8158295281582952,0.2093085721826118,0.014228198857153984,0.8137254901960784,0.8789808917197452,0.20950467243477286,0.014396865285691871,0.8553921568627451,0.9015025041736227,0.2080335878173786,0.013796515142855372,83.01402763400006
16,tpu,8,0,0.00016,False,True,4,64,0.6838235294117647,0.8122270742358079,0.07470776416575496,0.01300932542848646,0.6838235294117647,0.8122270742358079,0.0751495105299971,0.012453767571189798,0.6838235294117647,0.8122270742358079,0.07507229911232079,0.012151651857363634,257.96113303200036
17,tpu,8,1,0.00016,False,True,4,64,0.6838235294117647,0.8122270742358079,0.07393972645906671,0.01536523285722069,0.6838235294117647,0.8122270742358079,0.07455546101528886,0.012298517856834223,0.6838235294117647,0.8122270742358079,0.07485721849729825,0.015215416571144098,255.99978141599968
18,tpu,8,2,0.00016,False,True,4,64,0.6838235294117647,0.8122270742358079,0.07396336754638048,0.014101296857656312,0.6838235294117647,0.8122270742358079,0.07414772808179222,0.012229625428257609,0.6838235294117647,0.8122270742358079,0.07331895892802945,0.01221490599995637,253.49585979599942
19,tpu,8,0,0.00016,False,False,4,64,0.6838235294117647,0.8122270742358079,0.07510502112213688,0.01566072114292183,0.6838235294117647,0.8122270742358079,0.0749631286630371,0.013741806142856408,0.6838235294117647,0.8122270742358079,0.07448980975135834,0.011434906999966188,257.15247645900035
20,tpu,8,1,0.00016,False,False,4,64,0.6838235294117647,0.8122270742358079,0.07387002089858881,0.015499145714134752,0.6838235294117647,0.8122270742358079,0.07543747797708589,0.016083129714388633,0.6838235294117647,0.8122270742358079,0.07663040998364183,0.012674174714447872,258.2921962999999
